GeneID	GSM7510191	GSM7510192	GSM7510193	GSM7510194	GSM7510195	GSM7510196	GSM7510197	GSM7510198	GSM7510199	GSM7510200	GSM7510201	GSM7510202
84634	0	0	0	0	0	0	0	0	0	0	0	0
1820	1.9	4.759	3.956	3.47	3.437	1.723	1.394	1.194	6.511	4.655	2.54	1.978
57418	37.2	56.23	51.42	43.49	51.76	53.11	59.86	39.39	49.34	44.9	52.1	39.74
116444	1.415	1.135	1.323	1.049	0.5928	1.378	1.389	1.401	1.175	0.7479	1.572	0.9253
105372235	0	0	0.1201	0	0	0.3117	0	0.3117	0.1341	0	0	0
91304	121.5	171.2	148.7	122.3	132.3	122.3	115.8	124	159	143.7	175.3	127
103625684	1.651	2.866	0.9767	1.054	2.043	3.38	1.622	1.69	1.09	1.041	0	0
1265	128.6	258.7	247.4	50.68	57.81	113	116	118.8	215.1	208.5	45.35	39.1
10347	3.141	6.766	6.139	1.22	1.29	2.122	1.756	2.972	3.229	3.083	2.269	1.86
23526	10.39	27.14	23.35	8.026	8.906	7.295	6.782	7.473	6.897	5.451	12.1	8.662
5434	180.4	211.4	200.9	172.7	182.6	164.2	164.7	202.4	188.1	171.4	207.5	176.9
2879	682	859.9	790.6	654.4	698	734.1	745.9	855.1	577.5	553.4	749.7	663.8
22904	30.63	45.78	41.31	39.59	41.62	37.55	38.87	47.36	51.18	46.42	45.17	31.82
102723798	0.04212	0.04873	0.07474	0	0	0	0.06204	0	0.05561	0	0	0.02372
102725180	0.7421	1.079	0.5402	1.457	0.9651	0.4673	0.8221	0.8371	1.08	0.7436	1.112	0.4073
6794	56.21	114.2	95.75	65.97	69.97	59.38	57.41	56.96	97.41	86.72	85.84	66.28
255057	3.558	7.323	6.052	3.747	4.118	2.265	2.399	2.298	7.166	5.685	4.175	2.678
513	195.6	267.9	225.2	187.4	203	232.6	251.8	238.6	243.5	197.6	235.4	170
102723811	0.7791	0.3605	0	0	0.5783	0.7972	0.3825	0.3188	0.7201	0.09821	0.5835	0.7021
90007	147.7	38.42	31.82	53.01	52.75	111.9	62.77	81.04	60.27	48.37	52.96	36.02
107985303	2.847	3.111	5.614	1.817	1.859	1.538	1.942	2.266	4.177	3.191	2.133	2.673
105372236	0.3376	0.7813	0.3994	0.431	0.5569	0.8062	0.6631	0.4606	1.932	1.703	1.011	0.5071
148046	3.453	3.015	3.083	4.991	3.305	2.267	4.99	4.2	7.57	3.778	3.904	4.55
1153	116.7	76.58	76.35	106.3	102.4	136.3	138.6	158.8	83.15	80.93	89.58	82.46
55009	137.2	188.5	156.4	150.4	170.9	166.6	163	163.5	192.9	164.8	199.9	152.8
1943	0.4895	0.182	0.1654	0.1339	0.1081	0.2862	0.1373	0.2325	0	0	0	0.1772
84939	10.8	20.07	18.97	17.11	16.14	10.14	8.906	9.817	27.59	25.59	16.98	13.86
100189306	1.21	0	2.863	0	0	0	0	1.238	0	0	0	0
100189195	0	0	2.825	0	0	1.222	0	0	0	0	0	0
374291	59.59	81.84	79.6	61.42	58.26	76.61	81.18	71.63	75.04	68.01	78.89	63.24
2593	39.2	77.2	71	12.85	15.37	42.77	47.28	51.51	47.22	39.24	27.47	23.41
26528	64.75	110.1	104	114.8	113.5	78.58	68.23	56.48	124.5	109.8	121	103.3
6209	1615	1600	1511	1546	1675	1652	1814	1805	1672	1382	1961	1615
10297	8.556	9.792	8.472	8.543	9.754	6.985	6.489	9.458	10.66	8.193	11.94	8.115
148223	19.43	19.71	18.19	22.05	19.12	18.46	24.19	24.49	18.98	16.18	24.77	19.58
