Gene,Pat3.Myeloid,Pat1.Myeloid,Pat2.Myeloid,Pat5.Myeloid,MS2.Myeloid,MS4.Myeloid,MS5.Myeloid
LINC01482,0,0,0.5059,0.3862,3.038,0,0
LINC01285,6.074,5.672,5.384,6.497,8.378,5.548,3.303
MEI4,0.6812,0,1.176,0.3862,1.767,0,0
LINCR-0001,0.6812,0.6671,0,0,0,0,0
CASC20,0,0,0,0,0,0.8619,0
LINC01372,0.6812,1.122,0.5059,0.9417,1.767,0,0
TSHZ1,2.543,2.653,1.632,2.319,2.538,3.974,3.553
PRMT3,2.208,2.653,2.868,2.836,2.538,2.749,2.243
PSME3,5.805,5.902,5.561,5.386,6.328,4.763,4.882
MPHOSPH9,3.64,3.972,4.12,3.476,1.767,4.047,2.379
MPHOSPH10,3.895,3.972,4.432,4.185,5.115,4.308,3.553
NUTF2,3.414,3.379,2.692,2.227,3.947,3.321,3.61
TRIM13,5.044,4.391,4.926,5.081,4.646,4.806,3.995
PATJ,2.208,2.512,1.978,2.13,4.156,1.788,1.52
EIF1,7.264,7.168,7.099,7.627,7.78,7.834,8.3
CDK6,4.344,5.109,4.253,4.004,4.646,3.637,4.365
TOPORS,4.162,4.508,4.591,4.944,3.947,3.729,4.49
FLOT1,6.334,5.814,6.402,5.757,4.5,4.966,5.296
DDX39A,3.24,3.111,3.674,3.394,2.538,2.562,3.303
CDK7,2.006,1.745,1.978,2.319,0,2.347,2.822
GDF11,1.491,2.512,1.632,1.156,3.038,0.8619,0.9515
TRIB1,5.146,4.47,4.665,6.039,3.947,4.183,4.812
MFSD10,2.685,2.179,2.595,1.912,1.767,2.749,3.303
STX6,3.145,4.126,3.098,3.352,1.767,4.047,4.812
DCAF7,5.742,5.888,5.611,6.342,7.083,6.221,5.969
MRPS31,3.24,3.206,3.167,3.262,1.767,3.434,2.617
RABEPK,3.568,2.653,3.575,3.889,5.212,2.562,2.503
TIMM17B,2.685,2.9,2.868,2.836,3.038,3.063,2.914
CDK9,3.24,3.534,2.949,3.515,0,3.063,2.243
SRRM1,5.851,6.349,6.211,5.682,5.212,5.843,5.59
SPRY1,3.64,3.917,3.233,4.675,0,0,3.001
SPRY2,3.493,4.025,4.011,5.458,4.778,2.094,3.233
