Gene,MOLM13_sgNT_R1,MOLM13_sgNT_R2
AC004837.4,0.064,0
AC004839.2,0.145,0.134
AC004840.1,0.195,0.09
AC004840.2,0,0
AC004846.1,0.956,1.038
AC004846.2,0.563,0.954
AC004847.1,51.318,50.372
AC004851.1,0,0
AC004852.1,0,0
AC004852.2,0,0
AC004852.3,0,0
AC004854.1,0,0
AC004854.2,0.303,0.234
AC004858.1,0,0.278
AC004862.1,0,0
AC004863.1,0,0
AC004865.1,0,0
AC004865.2,0.141,0.262
AC004866.1,0,0
AC004866.2,0,0
AC004869.1,0,0
AC004869.2,0,0
AC004870.1,0,0
AC004870.2,0,0
AC004870.3,0,0
AC004870.4,0,0
AC004875.1,0,0
AC004877.1,0,0
AC004877.2,0.487,0.112
AC004878.3,0,0
AC004878.7,0,0
AC004879.2,0,0
AC004882.2,0,0
AC004882.3,0,0
AC004882.4,0,0.087
AC004884.1,0,0
AC004884.2,0,0
AC004888.1,0,0
AC004889.1,0,0
AC004890.1,6.441,5.21
AC004890.2,1.155,1.131
AC004890.3,0,0
AC004893.1,0,0
AC004893.2,0,0.067
AC004895.1,0.113,0
AC004898.1,0.19,0
AC004899.1,0,0
AC004899.2,0,0
AC004900.1,0,0
AC004908.1,0,0
AC004908.2,1.65,2.347
AC004908.3,0.466,0.108
AC004910.1,0,0
AC004911.1,0,0
AC004917.1,0,0
AC004918.1,0.757,0.875
AC004918.5,1.182,1.966
AC004920.1,0,0
AC004921.1,0,0
AC004921.2,0,0.023
AC004922.1,0.081,0.075
AC004923.1,0,0
AC004923.2,0,0
AC004923.3,0,0
AC004923.4,0.099,0.456
AC004924.1,0,0
AC004925.1,0,0
AC004930.1,0,0
AC004936.1,0,0
AC004938.1,0,0
AC004938.2,0.629,0.407
AC004941.1,0,0
AC004941.2,0,0
AC004943.1,0.533,0.53
AC004943.2,3.589,3.395
AC004943.3,0,0.112
AC004944.1,0,0
AC004945.1,0,0
AC004946.1,0,0
AC004946.2,0,0
AC004947.1,0,0
AC004947.2,0,0
AC004947.3,0.238,0.11
AC004948.1,0.108,0
AC004949.1,0,0
AC004951.1,1.132,1.083
AC004951.2,4.226,2.718
AC004951.3,0.19,0.235
AC004951.4,0.035,0.065
AC004965.1,0,0
AC004967.1,9.78,8.741
AC004967.2,2.823,3.703
AC004969.1,0,0
AC004972.1,0,0
AC004973.1,0,0.424
AC004974.1,0,0
AC004975.1,0,0
AC004975.2,0,0
AC004980.1,4.086,3.53
AC004980.2,0,0
AC004980.3,0,0
AC004980.5,0,0
AC004982.1,0,0.041
AC004982.2,0.042,0.195
AC004986.1,0,0
AC004987.1,0,0
AC004987.2,0,0
AC004987.3,0,0
AC004988.1,0,0
AC004990.1,0.095,0
AC004997.1,0,0
AC005000.1,2.783,3.508
AC005000.2,0,0
AC005002.1,0,0
AC005002.2,0,0
AC005005.1,0,0
AC005005.2,0,0
AC005005.3,0.155,0.239
AC005005.4,0,0
AC005006.1,0,0
AC005008.1,0,0
AC005008.2,0,0
AC005009.1,0,0
AC005011.1,0,0.321
AC005013.1,0,0
AC005014.1,0,0.045
AC005014.2,0,0.112
AC005014.3,0,0
AC005014.4,0,0
AC005019.1,0.169,0.313
AC005019.2,0,0
AC005020.1,0,0
AC005020.2,0,0
AC005021.1,0,0
AC005034.2,0,0
AC005034.3,0,0
AC005034.4,0,0
AC005034.5,0,0
AC005034.6,6.41,11.42
AC005034.7,0.137,0.054
AC005037.1,1.048,1.454
AC005037.2,0,0
AC005040.1,0,0
AC005040.2,0,0
AC005041.1,0,0.01
AC005041.2,0,0
AC005041.3,0.225,0.311
AC005041.4,0,0
AC005041.5,0.074,0.413
AC005042.1,0,0
AC005042.2,0,0
AC005046.2,0.117,0.108
AC005048.1,0,0
AC005050.1,0,0
AC005050.2,0,0
AC005050.3,0,0
AC005052.1,0,0
AC005052.2,0.109,0
AC005062.1,0,0
AC005064.1,0,0
AC005066.1,0,0
AC005070.1,0,0
AC005070.2,0,0
AC005070.3,0.248,0.331
AC005071.1,0,1.433
AC005071.2,0,0
AC005072.1,0.123,0.303
AC005076.2,1.685,2.522
AC005077.1,0.389,0.18
AC005077.2,0.528,0.391
AC005077.3,0,0
AC005077.4,0.584,0.27
AC005077.9,0,0
AC005081.1,0,0
AC005082.1,0.032,0
AC005082.2,0,0
AC005083.1,0.081,0
AC005084.1,0,0
AC005086.1,0,0
AC005086.2,0,0
AC005086.3,0.308,0
AC005086.4,0,0
AC005086.5,0,0
AC005088.1,0,0
AC005089.1,0,0.03
AC005090.1,0,0
AC005091.1,0.061,0.057
AC005094.1,0,0
AC005096.1,0,0
AC005099.1,0.358,0.11
AC005100.1,0,0
AC005100.2,0,0
AC005102.1,0,0
AC005104.1,0,0
AC005104.2,0.107,0
AC005104.3,0,0
AC005105.1,0,0
AC005144.1,0,0
AC005153.1,0,0
AC005154.1,0,0
AC005154.2,0.523,0.725
AC005154.3,0,0
AC005154.4,0,0
AC005154.5,0,0.098
AC005156.1,0,0.235
AC005159.1,0,0
AC005160.1,0,0
AC005161.1,0,0
AC005162.1,0,0
AC005162.2,0.015,0
AC005165.1,0.02,0.028
AC005165.2,0.192,0.355
AC005165.3,0,0
